%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609059612444316149,51,1609059612444316149,0.00844093595458,-0.0109528626899,-0.00490434363221,-8.1153813103e-05,0.000194819288575,0.00022053755813,0.999999953411,0.0,0.0,0.0,0.0,0.0,0.0
1609059612539931536,52,1609059612539931536,0.00920512489877,-0.0124068491287,-0.00468816697763,0.000282552894183,-5.86181287876e-05,0.000149884509698,0.999999947131,0.0,0.0,0.0,0.0,0.0,0.0
1609059612650884390,53,1609059612650884390,0.00883225231213,-0.014246855875,-0.00580559746146,5.02801687624e-05,-6.8912273374e-05,0.000169500942645,0.999999981996,0.0,0.0,0.0,0.0,0.0,0.0
1609059612745012522,54,1609059612745012522,0.00148573787392,-0.0118733324794,-0.00650134184903,0.000287711391253,-2.11085708675e-05,0.000127009864176,0.999999950323,0.0,0.0,0.0,0.0,0.0,0.0
1609059612840616703,55,1609059612840616703,0.00664276933009,-0.0116200336824,-0.00563956185135,2.27139363085e-05,0.000174295906325,7.89657323945e-05,0.999999981435,0.0,0.0,0.0,0.0,0.0,0.0
1609059612950987577,56,1609059612950987577,-0.00159289273907,-0.0198911545006,-0.00707391126233,4.36289612598e-05,-0.000264996558095,0.000138042321993,0.999999954409,0.0,0.0,0.0,0.0,0.0,0.0
1609059613044886351,57,1609059613044886351,0.00909019750268,-0.00908850992403,-0.00601860822554,0.000192560502828,-3.23934213537e-05,-1.53212524761e-05,0.999999980818,0.0,0.0,0.0,0.0,0.0,0.0
1609059613140022993,58,1609059613140022993,0.00784869540173,-0.010807648232,-0.0080354855256,2.75916029257e-05,-0.000129852229661,0.000163924657037,0.999999977753,0.0,0.0,0.0,0.0,0.0,0.0
1609059613251049280,59,1609059613251049280,0.00403275721491,-0.011678338693,-0.00598715859457,0.000292712317166,-6.01695380603e-05,0.000185782395841,0.999999938092,0.0,0.0,0.0,0.0,0.0,0.0
1609059613345152140,60,1609059613345152140,0.00517094326121,-0.0104171095801,-0.00602953086672,-7.09970324937e-05,-5.56872983517e-05,0.000154426190002,0.999999984005,0.0,0.0,0.0,0.0,0.0,0.0
1609059613439872503,61,1609059613439872503,0.012667571562,-0.00690589487782,-0.00632302437349,0.00011178895489,-9.27429967138e-05,7.55577686888e-05,0.999999986596,0.0,0.0,0.0,0.0,0.0,0.0
1609059613550514698,62,1609059613550514698,0.0113099718823,-0.00557885523463,-0.00788233224725,3.31940188737e-05,0.000232191455375,0.000150077188588,0.999999961231,0.0,0.0,0.0,0.0,0.0,0.0
1609059613645120621,63,1609059613645120621,0.00184945070834,-0.0126973728433,-0.00726002808894,9.61176036579e-05,-0.00047097175647,0.000198735620276,0.999999864726,0.0,0.0,0.0,0.0,0.0,0.0
1609059613739439487,64,1609059613739439487,0.00901041568039,-0.0205994613083,-0.00536960427768,0.00045410755351,-2.77184989171e-06,0.00025444702535,0.999999864518,0.0,0.0,0.0,0.0,0.0,0.0
1609059613850419521,65,1609059613850419521,0.00052070605267,-0.00540637474952,-0.00710307236956,3.88856460928e-05,-5.17260092048e-05,9.48518138428e-05,0.999999993408,0.0,0.0,0.0,0.0,0.0,0.0
1609059613944536924,66,1609059613944536924,0.00447077814007,-0.00830692178956,-0.00810530786134,0.000138266650103,-1.123048588e-05,-2.33995291904e-05,0.999999990104,0.0,0.0,0.0,0.0,0.0,0.0
1609059614039515734,67,1609059614039515734,0.00743872343406,-0.0102808927702,-0.00811525695673,0.000268227972781,-0.000126382787804,0.000172056788506,0.999999941239,0.0,0.0,0.0,0.0,0.0,0.0
1609059614150661469,68,1609059614150661469,0.00805534674859,-0.0157424010086,-0.00839555616191,-1.82641858241e-06,0.000133056834651,0.000108063289012,0.999999985307,0.0,0.0,0.0,0.0,0.0,0.0
1609059614244650364,69,1609059614244650364,0.00853769410265,-0.0177381392776,-0.00703689600402,0.000257969685391,-0.000377580912465,0.000226864248945,0.999999869708,0.0,0.0,0.0,0.0,0.0,0.0
1609059614341736794,70,1609059614341736794,-0.000702774490163,-0.0046812491477,-0.00763754811293,-7.7320754256e-05,0.000157253774773,0.000115753683365,0.999999977947,0.0,0.0,0.0,0.0,0.0,0.0
1609059614451108694,71,1609059614451108694,0.00581736335573,-0.0150776962433,-0.00829933432669,7.30305239632e-05,6.74853810144e-05,0.000202658807011,0.999999974521,0.0,0.0,0.0,0.0,0.0,0.0
1609059614545197248,72,1609059614545197248,0.00426492794016,-0.0111732662858,-0.00666132329712,0.000153846637056,-0.000261781753263,0.00030615862162,0.999999907034,0.0,0.0,0.0,0.0,0.0,0.0
1609059614639674425,73,1609059614639674425,0.000552712389504,-0.0116890533983,-0.00864921503275,6.63282390131e-05,-0.000166602797248,0.000278463387908,0.999999945151,0.0,0.0,0.0,0.0,0.0,0.0
1609059614750735521,74,1609059614750735521,0.00939429244068,-0.0109465201346,-0.00750570201263,0.000266717462099,-5.16184023066e-05,0.00020746489217,0.999999941578,0.0,0.0,0.0,0.0,0.0,0.0
1609059614845012665,75,1609059614845012665,0.00849434217106,-0.0166089551255,-0.00895057595416,3.9741583467e-05,3.16716105991e-05,0.000229420512052,0.999999972392,0.0,0.0,0.0,0.0,0.0,0.0
1609059614939806700,76,1609059614939806700,0.0121519030069,-0.0182830797572,-0.00692931411671,0.000297259324487,0.000194657057937,0.000254091768208,0.999999904591,0.0,0.0,0.0,0.0,0.0,0.0
1609059615050611973,77,1609059615050611973,0.00507900664235,-0.0105818352139,-0.00787202306559,2.82610730005e-05,2.177369204e-06,0.000229658627757,0.999999973227,0.0,0.0,0.0,0.0,0.0,0.0
1609059615144959450,78,1609059615144959450,0.010165767332,-0.0191705922028,-0.00847381584953,0.000154334372606,-3.2849490248e-05,0.000211436334274,0.999999965198,0.0,0.0,0.0,0.0,0.0,0.0
1609059615239545107,79,1609059615239545107,-0.00504133585681,-0.0226022271902,-0.0098189541199,0.000200624883161,-0.000122257496753,6.88253603411e-05,0.999999970033,0.0,0.0,0.0,0.0,0.0,0.0
1609059615350768805,80,1609059615350768805,0.0104850681595,-0.0175764466634,-0.00956391451211,0.000189810729719,2.19830278365e-05,0.000162855364627,0.999999968483,0.0,0.0,0.0,0.0,0.0,0.0
